,date,sales,store_nbr
0,2013-01-01,0.0,47.0
1,2013-01-02,27263.11101,47.0
2,2013-01-03,18340.205,47.0
3,2013-01-04,18982.00897,47.0
4,2013-01-05,26996.263995,47.0
5,2013-01-06,31646.35698,47.0
6,2013-01-07,15882.998,47.0
7,2013-01-08,13098.628,47.0
8,2013-01-09,14781.954,47.0
9,2013-01-10,12557.09603,47.0
10,2013-01-11,15506.021,47.0
11,2013-01-12,21611.57298,47.0
12,2013-01-13,27466.767,47.0
13,2013-01-14,13685.849020000001,47.0
14,2013-01-15,14380.484,47.0
15,2013-01-16,16137.23,47.0
16,2013-01-17,12572.42898,47.0
17,2013-01-18,16478.936999999998,47.0
18,2013-01-19,22414.73403,47.0
19,2013-01-20,28374.415,47.0
20,2013-01-21,14331.26197,47.0
21,2013-01-22,12303.567,47.0
22,2013-01-23,12858.927004000001,47.0
23,2013-01-24,11237.114000000001,47.0
24,2013-01-25,14747.080979999999,47.0
25,2013-01-26,22060.000004,47.0
26,2013-01-27,26652.491,47.0
27,2013-01-28,13207.575,47.0
28,2013-01-29,11837.761,47.0
29,2013-01-30,13025.205,47.0
30,2013-01-31,12391.981,47.0
31,2013-02-01,18592.227,47.0
32,2013-02-02,28250.0288,47.0
33,2013-02-03,28854.964,47.0
34,2013-02-04,16290.872,47.0
35,2013-02-05,14702.358,47.0
36,2013-02-06,15383.89503,47.0
37,2013-02-07,11847.473,47.0
38,2013-02-08,15100.04597,47.0
39,2013-02-09,19648.19803,47.0
40,2013-02-10,15109.527,47.0
41,2013-02-11,15478.326000000001,47.0
42,2013-02-12,19147.213,47.0
43,2013-02-13,13934.913,47.0
44,2013-02-14,12178.497029999999,47.0
45,2013-02-15,15159.442,47.0
46,2013-02-16,26842.841,47.0
47,2013-02-17,23975.752,47.0
48,2013-02-18,16872.47601,47.0
49,2013-02-19,12451.95399,47.0
50,2013-02-20,14498.83101,47.0
51,2013-02-21,11328.682990000001,47.0
52,2013-02-22,13310.166000000001,47.0
53,2013-02-23,19975.601000000002,47.0
54,2013-02-24,27482.07099,47.0
55,2013-02-25,13300.19,47.0
56,2013-02-26,11992.654999999999,47.0
57,2013-02-27,13538.975999999999,47.0
58,2013-02-28,12668.797999999999,47.0
59,2013-03-01,17848.338,47.0
60,2013-03-02,28711.706,47.0
61,2013-03-03,33821.73597,47.0
62,2013-03-04,18473.448,47.0
63,2013-03-05,14543.05504,47.0
64,2013-03-06,16192.762999999999,47.0
65,2013-03-07,12152.949990000001,47.0
66,2013-03-08,14600.440976,47.0
67,2013-03-09,23879.883,47.0
68,2013-03-10,27599.905,47.0
69,2013-03-11,13561.84599,47.0
70,2013-03-12,12337.714,47.0
71,2013-03-13,13499.3,47.0
72,2013-03-14,10877.568,47.0
73,2013-03-15,14525.0,47.0
74,2013-03-16,25658.224000000002,47.0
75,2013-03-17,31246.900999999998,47.0
76,2013-03-18,14958.35701,47.0
77,2013-03-19,13247.078,47.0
78,2013-03-20,14741.522,47.0
79,2013-03-21,12623.306,47.0
80,2013-03-22,13493.086,47.0
81,2013-03-23,23985.925000000003,47.0
82,2013-03-24,26462.753995,47.0
83,2013-03-25,15652.642,47.0
84,2013-03-26,11917.54897,47.0
85,2013-03-27,14625.84202,47.0
86,2013-03-28,14289.83502,47.0
87,2013-03-29,19097.75702,47.0
88,2013-03-30,25226.561,47.0
89,2013-03-31,29001.1839,47.0
90,2013-04-01,20527.735,47.0
91,2013-04-02,17184.569998,47.0
92,2013-04-03,17115.29798,47.0
93,2013-04-04,12370.095010000001,47.0
94,2013-04-05,16088.16603,47.0
95,2013-04-06,26266.859,47.0
96,2013-04-07,28315.680099999998,47.0
97,2013-04-08,16690.57,47.0
98,2013-04-09,13064.032,47.0
99,2013-04-10,14165.762,47.0
100,2013-04-11,12334.776,47.0
101,2013-04-12,14634.279999999999,47.0
102,2013-04-13,24191.83,47.0
103,2013-04-14,30093.014000000003,47.0
104,2013-04-15,15457.560000000001,47.0
105,2013-04-16,14457.714,47.0
106,2013-04-17,14519.504,47.0
107,2013-04-18,10672.537,47.0
108,2013-04-19,13873.884979999999,47.0
109,2013-04-20,21651.381,47.0
110,2013-04-21,27412.49799,47.0
111,2013-04-22,14316.523000000001,47.0
112,2013-04-23,12832.83902,47.0
113,2013-04-24,13970.819,47.0
114,2013-04-25,11393.177,47.0
115,2013-04-26,12660.71,47.0
116,2013-04-27,22133.764000000003,47.0
117,2013-04-28,29355.222999999998,47.0
118,2013-04-29,13216.447,47.0
119,2013-04-30,13833.34897,47.0
120,2013-05-01,28966.293019999997,47.0
121,2013-05-02,14342.475,47.0
122,2013-05-03,17221.650999999998,47.0
123,2013-05-04,23251.72898,47.0
124,2013-05-05,32893.53402,47.0
125,2013-05-06,17019.731,47.0
126,2013-05-07,12816.25401,47.0
127,2013-05-08,14941.967,47.0
128,2013-05-09,12962.246,47.0
129,2013-05-10,14276.756000000001,47.0
130,2013-05-11,25178.573040000003,47.0
131,2013-05-12,18149.357,47.0
132,2013-05-13,15031.10698,47.0
133,2013-05-14,11904.271,47.0
134,2013-05-15,14266.228019999999,47.0
135,2013-05-16,13577.277,47.0
136,2013-05-17,15543.900995,47.0
137,2013-05-18,23240.055,47.0
138,2013-05-19,28500.10598,47.0
139,2013-05-20,15047.66899,47.0
140,2013-05-21,12281.063979999999,47.0
141,2013-05-22,13129.66703,47.0
142,2013-05-23,12008.938030000001,47.0
143,2013-05-24,21224.197959999998,47.0
144,2013-05-25,21279.58,47.0
145,2013-05-26,23395.117,47.0
146,2013-05-27,13643.30803,47.0
147,2013-05-28,12344.398000000001,47.0
148,2013-05-29,12846.21797,47.0
149,2013-05-30,11804.996,47.0
150,2013-05-31,14591.34403,47.0
151,2013-06-01,25774.424,47.0
152,2013-06-02,36599.64598,47.0
153,2013-06-03,19105.326,47.0
154,2013-06-04,15910.003972,47.0
155,2013-06-05,16165.98797,47.0
156,2013-06-06,13121.178,47.0
